"code","period","officialName","name","wikiEntry","formerAlpha2","formerAlpha3","formerNumeric","notes"
"BQAQ","1974–1979","British Antarctic Territory","British Antarctic Territory","https://en.wikipedia.org/wiki/British_Antarctic_Territory","BQ","ATB","080",""
"BUMM","1974–1989","Burma","Burma","https://en.wikipedia.org/wiki/Burma","BU","BUR","104",""
"BYAA","1974–1992","Byelorussian Soviet Socialist Republic","Byelorussian SSR","https://en.wikipedia.org/wiki/Byelorussian_Soviet_Socialist_Republic","BY","BYS","112",""
"CTKI","1974–1984","Canton and Enderbury Islands","Canton and Enderbury Islands","https://en.wikipedia.org/wiki/Canton_and_Enderbury_Islands","CT","CTE","128",""
"CSHH","1974–1993","Czechoslovakia","Czechoslovakia","https://en.wikipedia.org/wiki/Czechoslovakia","CS","CSK","200",""
"DYBJ","1974–1977","Republic of Dahomey","Dahomey","https://en.wikipedia.org/wiki/Republic_of_Dahomey","DY","DHY","204",""
"NQAQ","1974–1983","Queen Maud Land","Dronning Maud Land","https://en.wikipedia.org/wiki/Queen_Maud_Land","NQ","ATN","216",""
"TPTL","1974–2002","East Timor","East Timor","https://en.wikipedia.org/wiki/East_Timor","TP","TMP","626",""
"FXFR","1993–1997","Metropolitan France","France, Metropolitan","https://en.wikipedia.org/wiki/Metropolitan_France","FX","FXX","249",""
"AIDJ","1974–1977","French Territory of the Afars and the Issas","French Afar and Issas","https://en.wikipedia.org/wiki/French_Territory_of_the_Afars_and_the_Issas","AI","AFI","262",""
"FQHH","1974–1979","French Southern and Antarctic Lands","French Southern and Antarctic Territories","https://en.wikipedia.org/wiki/French_Southern_and_Antarctic_Lands","FQ","ATF","260",""
"DDDE","1974–1990","East Germany","German Democratic Republic","https://en.wikipedia.org/wiki/East_Germany","DD","DDR","278",""
"GEHH","1974–1979","Gilbert and Ellice Islands","Gilbert and Ellice Islands","https://en.wikipedia.org/wiki/Gilbert_and_Ellice_Islands","GE","GEL","296",""
"JTUM","1974–1986","Johnston Atoll","Johnston Island","https://en.wikipedia.org/wiki/Johnston_Atoll","JT","JTN","396",""
"MIUM","1974–1986","Midway Atoll","Midway Islands","https://en.wikipedia.org/wiki/Midway_Atoll","MI","MID","488",""
"ANHH","1974–2010 ","Netherlands Antilles","Netherlands Antilles","https://en.wikipedia.org/wiki/Netherlands_Antilles","AN","ANT","530",""
"NTHH","1974–1993","Saudi-Iraqi neutral zone","Neutral Zone","https://en.wikipedia.org/wiki/Saudi-Iraqi_neutral_zone","NT","NTZ","536",""
"NHVU","1974–1980","New Hebrides","New Hebrides","https://en.wikipedia.org/wiki/New_Hebrides","NH","NHB","548",""
"PCHH","1974–1986","Trust Territory of the Pacific Islands","Pacific Islands, Trust Territory of the","https://en.wikipedia.org/wiki/Trust_Territory_of_the_Pacific_Islands","PC","PCI","582",""
"PZPA","1974–1980","Panama Canal Zone","Panama Canal Zone","https://en.wikipedia.org/wiki/Panama_Canal_Zone","PZ","PCZ","594",""
"CSXX\n","2003–2006","Serbia and Montenegro","Serbia and Montenegro","https://en.wikipedia.org/wiki/Serbia_and_Montenegro","CS","SCG","891",""
"SKIN","1974–1975","Sikkim","Sikkim","https://en.wikipedia.org/wiki/Sikkim","SK","SKM","698",""
"RHZW","1974–1980","Rhodesia","Southern Rhodesia","https://en.wikipedia.org/wiki/Rhodesia","RH","RHO","716",""
"HVBF","1974–1984","Republic of Upper Volta","Upper Volta","https://en.wikipedia.org/wiki/Republic_of_Upper_Volta","HV","HVO","854",""
"PUUM","1974–1986","United States Miscellaneous Pacific Islands","U.S. Miscellaneous Pacific Islands","https://en.wikipedia.org/wiki/United_States_Miscellaneous_Pacific_Islands","PU","PUS","849",""
"SUHH","1974–1992","Soviet Union","USSR","https://en.wikipedia.org/wiki/Soviet_Union","SU","SUN","810",""
"VDVN","1974–1977","North Vietnam","Viet-Nam, Democratic Republic of","https://en.wikipedia.org/wiki/North_Vietnam","VD","VDR","704",""
"WKUM","1974–1986","Wake Island","Wake Island","https://en.wikipedia.org/wiki/Wake_Island","WK","WAK","872",""
"YDYE","1974–1990","South Yemen","Yemen, Democratic","https://en.wikipedia.org/wiki/South_Yemen","YD","YMD","720",""
"YUCS","1974–2003","Yugoslavia","Yugoslavia","https://en.wikipedia.org/wiki/Yugoslavia","YU","YUG","891",""
"ZRCD","1974–1997","Zaire","Zaire","https://en.wikipedia.org/wiki/Zaire","ZR","ZAR","180",""